country,continent,year,lifeExp,pop,gdpPercap,fit.pr
Australia,Oceania,1982,74.74,15184200,19477.00928,75.2985236724909
Australia,Oceania,1987,76.32,16257249,21888.88903,77.45119961398649
Australia,Oceania,1992,77.56,17481977,23424.76683,79.3439221255118
Australia,Oceania,1997,78.83,18565243,26997.93657,81.84121067442298
Australia,Oceania,2002,80.37,19546792,30687.75473,84.37311462216933
Australia,Oceania,2007,81.235,20434176,34435.36744,86.92216909281812
Austria,Europe,1952,66.8,6927772,6137.076492,61.5278174170321
Austria,Europe,1957,67.48,6965860,8842.59803,63.767631509274054
Austria,Europe,1962,69.54,7129864,10750.72111,65.77081774445459
Austria,Europe,1967,70.14,7376998,12834.6024,67.82616019861952
Austria,Europe,1972,70.63,7544201,16661.6256,70.39877971869672
Austria,Europe,1977,72.17,7568430,19749.4223,72.75203390037493
Austria,Europe,1982,73.18,7574613,21597.08362,74.73727811853823
Austria,Europe,1987,74.94,7578903,23687.82607,76.79465662076854
Austria,Europe,1992,76.04,7914969,27042.01868,79.22696374352131
Austria,Europe,1997,77.51,8069876,29095.92066,81.2734098425324
Austria,Europe,2002,78.98,8148312,32417.60769,83.69607093993767
Austria,Europe,2007,79.829,8199783,36126.4927,86.23363297218509
Bahrain,Asia,1952,50.939,120447,9867.084765,52.744766470374046
Bahrain,Asia,1957,53.832,138655,11635.79945,54.70658328800147
Bahrain,Asia,1962,56.923,171863,12753.27514,56.47514504440369
Bahrain,Asia,1967,59.923,202182,14804.6727,58.52084795720488
Bahrain,Asia,1972,63.3,230800,18268.65839,60.98573615781143
Bahrain,Asia,1977,65.593,297410,19340.10196,62.74063789041712
Bahrain,Asia,1982,69.052,377967,19211.14731,64.13932165499294
Bahrain,Asia,1987,70.75,454612,18524.02406,65.37236898226207
Bahrain,Asia,1992,72.601,529491,19035.57917,66.96112390939801
Bahrain,Asia,1997,73.925,598561,20292.01679,68.77092259494039
Bahrain,Asia,2002,74.795,656397,23403.55927,71.131223332803
Bahrain,Asia,2007,75.635,708573,29796.04834,74.46514441434154
Bangladesh,Asia,1952,37.484,46886859,684.2441716,50.01976008297433
Bangladesh,Asia,1957,39.348,51365468,661.6374577,51.450002579536374
Bangladesh,Asia,1962,41.216,56839289,686.3415538,52.89428455093538
Bangladesh,Asia,1967,43.453,62821884,721.1860862,54.3415756950852
Bangladesh,Asia,1972,45.252,70759295,630.2336265,55.75153660318206
Bangladesh,Asia,1977,46.923,80428306,659.8772322,57.197284373216434
Bangladesh,Asia,1982,50.009,93074406,676.9818656,58.63931120534916
Bangladesh,Asia,1987,52.819,103764241,751.9794035,60.09851774706554
Bangladesh,Asia,1992,56.018,113704579,837.8101643,61.560939045838666
Bangladesh,Asia,1997,59.412,123315288,972.7700352,63.03793939969481
Bangladesh,Asia,2002,62.013,135656790,1136.39043,64.52344475915345
Bangladesh,Asia,2007,64.062,150448339,1391.253792,66.03602645364114
Belgium,Europe,1952,68,8730405,8343.105127,62.182456040017925
Belgium,Europe,1957,69.24,8989111,9714.960623,64.02650496067233
Belgium,Europe,1962,70.25,9218400,10991.20676,65.84218182027216
Belgium,Europe,1967,70.94,9556500,13149.04119,67.9194698561793
Belgium,Europe,1972,71.44,9709100,16672.14356,70.4019009215414
Belgium,Europe,1977,72.8,9821800,19117.97448,72.56465186697163
Belgium,Europe,1982,73.93,9856303,20979.84589,74.55411292693042
Belgium,Europe,1987,75.35,9870200,22525.56308,76.4497552757681
Belgium,Europe,1992,76.46,10045622,25575.57069,78.79179555140311
Belgium,Europe,1997,77.53,10199787,27561.19663,80.81798074713335
Belgium,Europe,2002,78.32,10311970,30485.88375,83.12283218863273
Belgium,Europe,2007,79.441,10392226,33692.60508,85.51137723407722
Benin,Africa,1952,38.223,1738315,1062.7522,40.62647467151408
Benin,Africa,1957,40.358,1925173,959.6010805,42.032815629385894
Benin,Africa,1962,42.618,2151895,949.4990641,43.4667688928085
Benin,Africa,1967,44.885,2427334,1035.831411,44.929339037171665
Benin,Africa,1972,47.014,2761407,1085.796879,46.38111731639415
Benin,Africa,1977,49.19,3168267,1029.161251,47.801261738473066
Benin,Africa,1982,50.904,3641603,1277.897616,49.31202524764101
Benin,Africa,1987,52.337,4243788,1225.85601,50.73353294496864
Benin,Africa,1992,53.919,4981671,1191.207681,52.16020209429368
Benin,Africa,1997,54.777,6066080,1232.975292,53.60954766084292
Benin,Africa,2002,54.406,7026113,1372.877931,55.088014780293754
Benin,Africa,2007,56.728,8078314,1441.284873,56.545265563795496
Bolivia,Americas,1952,40.414,2883315,2677.326347,55.432362576039196
Bolivia,Americas,1957,41.89,3211738,2127.686326,56.706208028177734
Bolivia,Americas,1962,43.428,3593918,2180.972546,58.15897173999255
Bolivia,Americas,1967,45.032,4040665,2586.886053,59.71637753936981
Bolivia,Americas,1972,46.714,4565872,2980.331339,61.27008339628167
Bolivia,Americas,1977,50.023,5079716,3548.097832,62.87551904178156
Bolivia,Americas,1982,53.859,5642224,3156.510452,64.19626658830904
Bolivia,Americas,1987,57.251,6156369,2753.69149,65.51368116478449
Bolivia,Americas,1992,59.957,6893451,2961.699694,67.01235859908887
Bolivia,Americas,1997,62.05,7693188,3326.143191,68.55745818003771
Bolivia,Americas,2002,63.883,8445134,3413.26269,70.02026191165294
Bolivia,Americas,2007,65.554,9119152,3822.137084,71.57854635374487
Bosnia and Herzegovina,Europe,1952,53.82,2791000,973.5331948,59.9955368200458
Bosnia and Herzegovina,Europe,1957,58.45,3076000,1353.989176,61.54538810296306
Bosnia and Herzegovina,Europe,1962,61.93,3349000,1709.683679,63.08789142142747
Bosnia and Herzegovina,Europe,1967,64.79,3585000,2172.352423,64.66213932775086
Bosnia and Herzegovina,Europe,1972,67.45,3819000,2860.16975,66.30320003786288
Bosnia and Herzegovina,Europe,1977,69.86,4086000,3528.481305,67.93847241344479
Bosnia and Herzegovina,Europe,1982,70.69,4172693,4126.613157,69.55291897407373
Bosnia and Herzegovina,Europe,1987,71.14,4338977,4314.114757,71.04551107712189
Bosnia and Herzegovina,Europe,1992,72.178,4256013,2546.781445,71.95800625184695
Bosnia and Herzegovina,Europe,1997,73.244,3607000,4766.355904,74.05361563088012
Bosnia and Herzegovina,Europe,2002,74.09,4165416,6018.975239,75.86228124099686
Bosnia and Herzegovina,Europe,2007,74.852,4552198,7446.298803,77.72279030141513
Botswana,Africa,1952,47.622,442308,851.2411407,40.563708800568605
Botswana,Africa,1957,49.618,474639,918.2325349,42.020539520500975
Botswana,Africa,1962,51.52,512764,983.6539764,43.47690435723609
Botswana,Africa,1967,53.298,553541,1214.709294,44.98242101858926
Botswana,Africa,1972,56.024,619351,2263.611114,46.730633490708684
Botswana,Africa,1977,59.319,781472,3214.857818,48.44986682373104
Botswana,Africa,1982,61.484,970347,4551.14215,50.283360007506275
Botswana,Africa,1987,63.622,1151184,6205.88385,52.21135536118068
Botswana,Africa,1992,62.745,1342614,7954.111645,54.16709269767803
Botswana,Africa,1997,52.556,1536536,8647.142313,55.80970046584689
Botswana,Africa,2002,46.634,1630347,11003.60508,57.94593142704368
Botswana,Africa,2007,50.728,1639131,12569.85177,59.847665901521694
Brazil,Americas,1952,50.917,56602560,2108.944355,55.26369531639013
Brazil,Americas,1957,53.285,65551171,2487.365989,56.8129429071211
Brazil,Americas,1962,55.665,76039390,3336.585802,58.50189977755721
Brazil,Americas,1967,57.632,88049823,3429.864357,59.966531207995004
Brazil,Americas,1972,59.504,100840058,4985.711467,61.865179608873234
Brazil,Americas,1977,61.489,114313951,6660.118654,63.79901069247687
Brazil,Americas,1982,63.336,128962939,7030.835878,65.34597200084808
Brazil,Americas,1987,65.205,142938076,7807.095818,67.01327804135563
Brazil,Americas,1992,67.057,155975974,6950.283021,68.19597002435556
Brazil,Americas,1997,69.388,168546719,7957.980824,69.93195521142418
Brazil,Americas,2002,71.006,179914212,8131.212843,71.4203128187327
Brazil,Americas,2007,72.39,190010647,9065.800825,73.13460267882921
Bulgaria,Europe,1952,59.6,7274900,2444.286648,60.43198265763779
Bulgaria,Europe,1957,66.61,7651254,3008.670727,62.036414572357316
Bulgaria,Europe,1962,69.51,8012946,4254.337839,63.84301711147887
Bulgaria,Europe,1967,70.42,8310226,5577.0028,65.67246874922161
Bulgaria,Europe,1972,70.9,8576200,6597.494398,67.41225049278486
Bulgaria,Europe,1977,70.81,8797022,7612.240438,69.15032724298688
Bulgaria,Europe,1982,71.08,8892098,8224.191647,70.76887469545987
Bulgaria,Europe,1987,71.34,8971958,8239.854824,72.21047377565057
Bulgaria,Europe,1992,71.19,8658506,6302.623438,73.07255172575456
Bulgaria,Europe,1997,70.32,8066057,5970.38876,74.41091217652605
Bulgaria,Europe,2002,72.14,7661799,7696.777725,76.36016884392782
Bulgaria,Europe,2007,73.005,7322858,10680.79282,78.68262585193814
Burkina Faso,Africa,1952,31.975,4469979,543.2552413,40.47231403719906
Burkina Faso,Africa,1957,34.906,4713416,617.1834648,41.93120326004875
Burkina Faso,Africa,1962,37.814,4919632,722.5120206,43.39941052617857
Burkina Faso,Africa,1967,40.697,5127935,794.8265597,44.85782088845646
Burkina Faso,Africa,1972,43.591,5433886,854.7359763,46.312550032738116
Burkina Faso,Africa,1977,46.137,5889574,743.3870368,47.716458288916414
Burkina Faso,Africa,1982,48.122,6634596,807.1985855,49.1723453902364
Burkina Faso,Africa,1987,49.557,7586551,912.0631417,50.64041496456369
Burkina Faso,Africa,1992,50.26,8878303,931.7527731,52.08320889441413
Burkina Faso,Africa,1997,50.324,10352843,946.2949618,53.52447532151707
Burkina Faso,Africa,2002,50.65,12251209,1037.645221,54.98853453050353
Burkina Faso,Africa,2007,52.295,14326203,1217.032994,56.47871885676666
Burundi,Africa,1952,39.031,2445618,339.2964587,40.411789303082394
Burundi,Africa,1957,40.533,2667518,379.5646281,41.86068991059135
Burundi,Africa,1962,42.045,2961915,355.2032273,43.290411704113644
Burundi,Africa,1967,43.548,3330989,412.9775136,44.74450724884119
Burundi,Africa,1972,44.057,3529983,464.0995039,46.196628725859895
Burundi,Africa,1977,45.91,3834415,556.1032651,47.660881861453916
Burundi,Africa,1982,47.471,4580410,559.603231,49.098871510815265
Burundi,Africa,1987,48.211,5126023,621.8188189,50.55428501103874
Burundi,Africa,1992,44.736,5809236,631.6998778,51.99416824866472
Burundi,Africa,1997,45.326,6121610,463.1151478,53.38109179372733
Burundi,Africa,2002,47.36,7021078,446.4035126,54.81308365389296
Burundi,Africa,2007,49.58,8390505,430.0706916,56.245187927108134
Cambodia,Asia,1952,39.417,4693836,368.4692856,49.926053939153334
Cambodia,Asia,1957,41.366,5322536,434.0383364,51.38246257892318
Cambodia,Asia,1962,43.415,6083619,496.9136476,52.83807185192394
Cambodia,Asia,1967,45.415,6960067,523.4323142,54.28289229681084
Cambodia,Asia,1972,40.317,7450606,421.6240257,55.689631739553974
Cambodia,Asia,1977,31.22,6978607,524.9721832,57.15725132282442
Cambodia,Asia,1982,50.957,7272485,624.4754784,58.62372994385997
Cambodia,Asia,1987,53.914,8371791,683.8955732,60.078313881980534
Cambodia,Asia,1992,55.803,10150094,682.3031755,61.514792373307955
Cambodia,Asia,1997,56.534,11782962,734.28517,62.96716905642704
Cambodia,Asia,2002,56.752,12926707,896.2260153,64.45217600985664
Cambodia,Asia,2007,59.723,14131858,1713.778686,66.1317356611904
Cameroon,Africa,1952,38.523,5009067,1172.667655,40.65909206412832
Cameroon,Africa,1957,40.428,5359923,1313.048099,42.13770097213181
Cameroon,Africa,1962,42.643,5793633,1399.607441,43.60033847725236
Cameroon,Africa,1967,44.799,6335506,1508.453148,45.06958945740379
Cameroon,Africa,1972,47.049,7021028,1684.146528,46.55867747317127
Cameroon,Africa,1977,49.355,7959865,1783.432873,48.025091714271795
Cameroon,Africa,1982,52.961,9250831,2367.983282,49.6355079839958
Cameroon,Africa,1987,54.985,10780667,2602.664206,51.142100543432754
Cameroon,Africa,1992,54.314,12467171,1793.163278,52.338832315527725
Cameroon,Africa,1997,52.199,14195809,1694.337469,53.74645680855624
Cameroon,Africa,2002,49.856,15929988,1934.011449,55.25453105651368
Cameroon,Africa,2007,50.43,17696293,2042.09524,56.72355593822142
Canada,Americas,1952,68.75,14785584,11367.16112,58.01106956991782
Canada,Americas,1957,69.96,17010154,12489.95006,59.78120803235568
Canada,Americas,1962,71.3,18985849,13462.48555,61.50675880900999
Canada,Americas,1967,72.13,20819767,16076.58803,63.719444311307875
Canada,Americas,1972,72.88,22284500,18970.57086,66.01518425996147
Canada,Americas,1977,74.21,23796400,22090.88306,68.37808741074551
Canada,Americas,1982,75.76,25201900,22898.79214,70.05478532817595
Canada,Americas,1987,76.86,26549700,26626.51503,72.59793749811584
Canada,Americas,1992,77.95,28523502,26342.88426,73.95072115033634
Canada,Americas,1997,78.61,30305843,28954.92589,76.16279509574652
Canada,Americas,2002,79.77,31902268,33328.96507,78.89774151503843
Canada,Americas,2007,80.653,33390141,36319.23501,81.22205464724081
Central African Republic,Africa,1952,35.463,1291695,1071.310713,40.62901440879411
Central African Republic,Africa,1957,37.464,1392284,1190.844328,42.10143702383038
Central African Republic,Africa,1962,39.475,1523478,1193.068753,43.53904815664615
Central African Republic,Africa,1967,41.478,1733638,1136.056615,44.95908084944648
Central African Republic,Africa,1972,43.457,1927260,1070.013275,46.376433534586255
Central African Republic,Africa,1977,46.775,2167533,1109.374338,47.825064958424974
Central African Republic,Africa,1982,48.295,2476971,956.7529907,49.2167256345942
Central African Republic,Africa,1987,50.485,2840009,844.8763504,50.62047729564967
Central African Republic,Africa,1992,49.396,3265124,747.9055252,52.02865225480596
Central African Republic,Africa,1997,46.066,3696513,740.5063317,53.46340758046538
Central African Republic,Africa,2002,43.308,4048013,738.6906068,54.89981979948411
Central African Republic,Africa,2007,44.741,4369038,706.016537,56.327074809891656
Chad,Africa,1952,38.092,2682462,1178.665927,40.66087205032618
Chad,Africa,1957,39.881,2894855,1308.495577,42.13635001200105
Chad,Africa,1962,41.716,3150417,1389.817618,43.59743334893883
Chad,Africa,1967,43.601,3495967,1196.810565,44.97710957379663
Chad,Africa,1972,45.569,3899068,1104.103987,46.38654994758571
Chad,Africa,1977,47.383,4388260,1133.98495,47.83236815335858
Chad,Africa,1982,49.517,4875118,797.9081006,49.16958844041929
Chad,Africa,1987,51.051,5498955,952.386129,50.652380804200554
Chad,Africa,1992,51.724,6429417,1058.0643,52.12069181858163
Chad,Africa,1997,51.573,7562011,1004.961353,53.54188456314767
Chad,Africa,2002,50.525,8835739,1156.18186,55.02371025800641
Chad,Africa,2007,50.651,10238807,1704.063724,56.62324514322576
Chile,Americas,1952,54.745,6377619,3939.978789,55.80705447388057
Chile,Americas,1957,56.074,7048426,4315.622723,57.35547778260802
Chile,Americas,1962,57.924,7961258,4519.094331,58.85280898281943
Chile,Americas,1967,60.523,8858908,5106.654313,60.46411834282034
Chile,Americas,1972,63.441,9717524,5494.024437,62.016021396439896
Chile,Americas,1977,67.052,10599793,4756.763836,63.234190473310065
Chile,Americas,1982,70.565,11487112,5095.665738,64.77171059027809
Chile,Americas,1987,72.492,12463354,5547.063754,66.34261390998059
Chile,Americas,1992,74.126,13572994,7596.125964,68.38762380806568
Chile,Americas,1997,75.816,14599929,10118.05318,70.57295631641735
Chile,Americas,2002,77.86,15497046,10778.78385,72.20597906566229
Chile,Americas,2007,78.553,16284741,13171.63885,74.35300941582463
China,Asia,1952,44,556263527,400.448611,49.93554379853762
China,Asia,1957,50.54896,637408000,575.9870009,51.42458582101925
China,Asia,1962,44.50136,665770000,487.6740183,52.83532999349751
China,Asia,1967,58.38112,754550000,612.7056934,54.30938415693521
China,Asia,1972,63.11888,862030000,676.9000921,55.76538486892771
China,Asia,1977,63.96736,943455000,741.2374699,57.221428009943864
China,Asia,1982,65.525,1000281000,962.4213805,58.72401533294534
China,Asia,1987,67.274,1084035000,1378.904018,60.28455752000448
China,Asia,1992,68.69,1164970000,1655.784158,61.80367268962655
China,Asia,1997,70.426,1230075000,2289.234136,63.428599898151106
China,Asia,2002,72.028,1280400000,3119.280896,65.11186716836391
China,Asia,2007,72.961,1318683096,4959.114854,67.09478861818232
Colombia,Americas,1952,50.643,12350771,2144.115096,55.27413222781201
Colombia,Americas,1957,55.118,14485993,2323.805581,56.76440638380978
Colombia,Americas,1962,57.863,17009885,2492.351109,58.251373275709526
Colombia,Americas,1967,59.963,19764027,2678.729839,59.74363216727578
Colombia,Americas,1972,61.623,22542890,3264.660041,61.354457890338324
Colombia,Americas,1977,63.837,25094412,3815.80787,62.95496195011706
Colombia,Americas,1982,66.653,27764644,4397.575659,64.56455247782839
Colombia,Americas,1987,67.768,30964245,4903.2191,66.15155311819201
Colombia,Americas,1992,68.421,34202721,5444.648617,67.74917327053434
Colombia,Americas,1997,70.313,37657830,6117.361746,69.38575181245363
Colombia,Americas,2002,71.682,41008227,5755.259962,70.71524920458926
Colombia,Americas,2007,72.889,44227550,7006.580419,72.52352937287996
Comoros,Africa,1952,40.715,153936,1102.990936,40.63841550959197
Comoros,Africa,1957,42.46,170928,1211.148548,42.107462297668945
Comoros,Africa,1962,44.467,191689,1406.648278,43.602427844437
Comoros,Africa,1967,46.472,217378,1876.029643,45.17866771990275
Comoros,Africa,1972,48.944,250027,1937.577675,46.633883123026216
Comoros,Africa,1977,50.939,304739,1172.603047,47.84382806708831
Comoros,Africa,1982,52.933,348643,1267.100083,49.308821081556026
Comoros,Africa,1987,54.926,395114,1315.980812,50.76027746466439
Comoros,Africa,1992,57.939,454429,1246.90737,52.176730967549986
Comoros,Africa,1997,60.66,527982,1173.618235,53.591933464253415
Comoros,Africa,2002,62.974,614382,1075.811558,54.99986038452994
Comoros,Africa,2007,65.152,710960,986.1478792,56.41020373814011
"Congo, Dem. Rep.",Africa,1952,39.143,14100005,780.5423257,40.542728939217746
"Congo, Dem. Rep.",Africa,1957,40.652,15577932,905.8602303,42.01686804121099
"Congo, Dem. Rep.",Africa,1962,42.122,17486434,896.3146335,43.45098642205546
"Congo, Dem. Rep.",Africa,1967,44.056,19941073,861.5932424,44.87763389021473
"Congo, Dem. Rep.",Africa,1972,45.989,23007669,904.8960685,46.327435031584315
"Congo, Dem. Rep.",Africa,1977,47.804,26480870,795.757282,47.731999150290214
"Congo, Dem. Rep.",Africa,1982,47.784,30646495,673.7478181,49.13274389766233
"Congo, Dem. Rep.",Africa,1987,47.412,35481645,672.774812,50.56940619334192
"Congo, Dem. Rep.",Africa,1992,45.548,41672143,457.7191807,51.94253950633171
"Congo, Dem. Rep.",Africa,1997,42.587,47798986,312.188423,53.33630431376117
"Congo, Dem. Rep.",Africa,2002,44.966,55379852,241.1658765,54.75217942021724
"Congo, Dem. Rep.",Africa,2007,46.462,64606759,277.5518587,56.199927989333545
"Congo, Rep.",Africa,1952,42.111,854885,2125.621418,40.94188093154458
"Congo, Rep.",Africa,1957,45.053,940458,2315.056572,42.43504681641404
"Congo, Rep.",Africa,1962,48.435,1047924,2464.783157,43.916429190172856
"Congo, Rep.",Africa,1967,52.04,1179760,2677.939642,45.416634375990114
"Congo, Rep.",Africa,1972,54.907,1340458,3213.152683,47.01240979013462
"Congo, Rep.",Africa,1977,55.625,1536769,3259.178978,48.463019120437984
"Congo, Rep.",Africa,1982,56.695,1774735,4879.507522,50.38080237591066
"Congo, Rep.",Africa,1987,57.47,2064095,4201.194937,51.61646426652303
"Congo, Rep.",Africa,1992,56.433,2409073,4016.239529,52.998529815667894
"Congo, Rep.",Africa,1997,52.962,2800947,3484.164376,54.277587639403976
"Congo, Rep.",Africa,2002,52.97,3328795,3484.06197,55.714508285515464
"Congo, Rep.",Africa,2007,55.322,3800610,3632.557798,57.195525432343445
Costa Rica,Americas,1952,57.206,926317,2627.009471,55.41743105162696
Costa Rica,Americas,1957,60.026,1112300,2990.010802,56.96210267006012
Costa Rica,Americas,1962,62.842,1345187,3460.937025,58.538800981875134
Costa Rica,Americas,1967,65.424,1588717,4161.727834,60.18371157056853
Costa Rica,Americas,1972,67.849,1834796,5118.146939,61.904479812709695
Costa Rica,Americas,1977,70.75,2108457,5926.876967,63.58142134631978
Costa Rica,Americas,1982,73.45,2424367,5262.734751,64.82128829152762
Costa Rica,Americas,1987,74.752,2799811,5629.915318,66.3672000975344
Costa Rica,Americas,1992,75.713,3173216,6160.416317,67.96157721401522
Costa Rica,Americas,1997,77.26,3518107,6677.045314,69.55183781625716
Costa Rica,Americas,2002,78.123,3834934,7723.447195,71.29930843190267
Costa Rica,Americas,2007,78.782,4133884,9645.06142,73.306498162072
Cote d'Ivoire,Africa,1952,40.477,2977019,1388.594732,40.7231683875767
Cote d'Ivoire,Africa,1957,42.469,3300000,1500.895925,42.19344478261209
Cote d'Ivoire,Africa,1962,44.93,3832408,1728.869428,43.69804691600581
Cote d'Ivoire,Africa,1967,47.35,4744870,2052.050473,45.230901871327546
Cote d'Ivoire,Africa,1972,49.801,6071696,2378.201111,46.76463805286797
Cote d'Ivoire,Africa,1977,52.374,7459574,2517.736547,48.24299620489088
Cote d'Ivoire,Africa,1982,53.983,9025951,2602.710169,49.7051631478706
Cote d'Ivoire,Africa,1987,54.655,10761098,2156.956069,51.00983672943233
Cote d'Ivoire,Africa,1992,52.044,12772596,1648.073791,52.295777034887905
Cote d'Ivoire,Africa,1997,47.991,14625967,1786.265407,53.77373640855392
Cote d'Ivoire,Africa,2002,46.832,16252726,1648.800823,55.16989485165971
Cote d'Ivoire,Africa,2007,48.328,18013409,1544.750112,56.575968855906595
Croatia,Europe,1952,61.21,3882229,3119.23652,60.632273917588066
Croatia,Europe,1957,64.77,3991242,4338.231617,62.430961540785674
Croatia,Europe,1962,67.13,4076557,5477.890018,64.20610601291186
Croatia,Europe,1967,68.5,4174366,6960.297861,66.08296132377339
Croatia,Europe,1972,69.61,4225310,9164.090127,68.17388733971268
Croatia,Europe,1977,70.64,4318673,11305.38517,70.24626731533495
Croatia,Europe,1982,70.46,4413368,13221.82184,72.25192060693685
Croatia,Europe,1987,71.52,4484310,13822.58394,73.86714769321334
Croatia,Europe,1992,72.527,4494013,8447.794873,73.70913098497027
Croatia,Europe,1997,73.68,4444595,9875.604515,75.56978428895252
Croatia,Europe,2002,74.876,4481020,11628.38895,77.52687380759644
Croatia,Europe,2007,75.748,4493312,14619.22272,79.8513542562556
Cuba,Americas,1952,59.421,6007797,5586.53878,56.295670871723374
Cuba,Americas,1957,62.325,6640752,6092.174359,57.88266917903985
Cuba,Americas,1962,65.246,7254373,5180.75591,59.04915694407751
Cuba,Americas,1967,68.29,8139332,5690.268015,60.63730560982648
Cuba,Americas,1972,70.723,8831348,5305.445256,61.9600605564875
Cuba,Americas,1977,72.649,9537988,6380.494966,63.71603241052609
Cuba,Americas,1982,73.717,9789224,7316.918107,65.43086685374435
Cuba,Americas,1987,74.174,10239839,7532.924763,66.93191782732207
Cuba,Americas,1992,74.414,10723260,5592.843963,67.79315021430523
Cuba,Americas,1997,76.151,10983007,5431.990415,69.18236798631405
Cuba,Americas,2002,77.158,11226999,6340.646683,70.8889626146827
Cuba,Americas,2007,78.273,11416987,8948.102923,73.0996758463887
Czech Republic,Europe,1952,66.87,9125183,6876.14025,61.747134461770216
Czech Republic,Europe,1957,69.03,9513758,8256.343918,63.59366070104859
